DayofMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,DepDelay,ArrDelay
19,5,DL,11433,13303,-3,1
19,5,DL,14869,12478,0,-8
19,5,DL,14057,14869,-4,-15
19,5,DL,15016,11433,28,24
19,5,DL,11193,12892,-6,-11
19,5,DL,10397,15016,-1,-19
19,5,DL,15016,10397,0,-1
19,5,DL,10397,14869,15,24
19,5,DL,10397,10423,33,34
19,5,DL,11278,10397,323,322
19,5,DL,14107,13487,-7,-13
19,5,DL,11433,11298,22,
19,5,DL,11298,11433,40,
19,5,DL,11433,12892,-2,
19,5,DL,10397,12451,71,
19,5,DL,12451,10397,75,
19,5,DL,12953,10397,-1,
19,5,DL,11433,12953,-3,
